function_id,function_name,function_type
FUNC:가용화,가용화,cosmetic_role
FUNC:각질제거,각질제거,skin_effect
FUNC:미백,미백,skin_effect
FUNC:밀폐보습,밀폐보습,skin_effect
FUNC:방부,방부,cosmetic_role
FUNC:보습,보습,skin_effect
FUNC:비안면,비안면,cosmetic_role
FUNC:세정,세정,cosmetic_role
FUNC:여드름,여드름,skin_effect
FUNC:용제,용제,cosmetic_role
FUNC:유연,유연,skin_effect
FUNC:유화,유화,cosmetic_role
FUNC:자외선차단,자외선차단,skin_effect
FUNC:장벽강화,장벽강화,skin_effect
FUNC:재생,재생,skin_effect
FUNC:점증,점증,cosmetic_role
FUNC:제형,제형,cosmetic_role
FUNC:주름개선,주름개선,skin_effect
FUNC:진정,진정,skin_effect
FUNC:착색,착색,cosmetic_role
FUNC:탄력,탄력,skin_effect
FUNC:탈모,탈모,cosmetic_role
FUNC:피막,피막,cosmetic_role
FUNC:피부컨디셔닝,피부컨디셔닝,cosmetic_role
FUNC:피지조절,피지조절,skin_effect
FUNC:피지흡착,피지흡착,skin_effect
FUNC:항산화,항산화,skin_effect
FUNC:향료,향료,cosmetic_role
