product_id,brand,name,category,sale_price,product_url,ingredient_count,source_files
A000000000040,케어존,케어존 데일리&패밀리 선크림 80ml (SPF50+/PA+++),선케어|선크림,13900,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000000040&dispCatNo=100000100110006&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%84%A0%ED%81%AC%EB%A6%BC_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=249,51,oliveyoung_data/선케어/선크림_result.csv
A000000000150,싸이닉,[1+1] 싸이닉 퍼펙트필링젤 더블 기획 (120ml+120ml),클랜징|필링_스크럼,8000,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000000150&dispCatNo=100000100100007&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%ED%95%84%EB%A7%81&%EC%8A%A4%ED%81%AC%EB%9F%BD_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=15,23,oliveyoung_data/클랜징/필링_스크럼_result.csv
A000000000463,뉴트로지나,[재구매율1위/보들촉촉밀크] 뉴트로지나 딥클린 클렌징 로션 (클렌징밀크) 200ml,워터_밀크|클랜징,12900,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000000463&dispCatNo=100000100100005&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%9B%8C%ED%84%B0/%EB%B0%80%ED%81%AC_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=94,14,oliveyoung_data/클랜징/워터_밀크_result.csv
A000000000855,티스,[산뜻딥클렌징/파란티스] 티스 퍼펙트 오프 오일230ml,오일_밤|클랜징,10880,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000000855&dispCatNo=100000100100004&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%98%A4%EC%9D%BC/%EB%B0%A4_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=51,14,oliveyoung_data/클랜징/오일_밤_result.csv
A000000001588,에비앙,에비앙 브뤼미자뙤르 페이셜미스트 50ml,미스트_오일|스킨케어,5600,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000001588&dispCatNo=100000100010010&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EB%AF%B8%EC%8A%A4%ED%8A%B8/%EC%98%A4%EC%9D%BC_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=78,1,oliveyoung_data/스킨케어/미스트_오일_result.csv
A000000002326,유리아쥬,[3중장벽강화 미스트] 유리아쥬 오떼르말 50ml(N),미스트_오일|스킨케어,8000,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000002326&dispCatNo=100000100010010&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EB%AF%B8%EC%8A%A4%ED%8A%B8/%EC%98%A4%EC%9D%BC_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=79,1,oliveyoung_data/스킨케어/미스트_오일_result.csv
A000000002652,바이오더마,바이오더마 센시비오 H2O 100ml(클렌징워터),워터_밀크|클랜징,10000,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000002652&dispCatNo=100000100100005&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%9B%8C%ED%84%B0/%EB%B0%80%ED%81%AC_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=42,10,oliveyoung_data/클랜징/워터_밀크_result.csv
A000000002838,바이오더마,바이오더마 센시비오 레 데마끼앙 (민감 피부용 클렌징 밀크),워터_밀크|클랜징,20500,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000002838&dispCatNo=100000100100005&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%9B%8C%ED%84%B0/%EB%B0%80%ED%81%AC_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=56,20,oliveyoung_data/클랜징/워터_밀크_result.csv
A000000002839,바이오더마,바이오더마 센시비오 토너 250ml,스킨_토너|스킨케어,29500,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000002839&dispCatNo=100000100010013&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=43,15,oliveyoung_data/스킨케어/스킨_토너_result.csv
A000000002844,바이오더마,바이오더마 세비엄 H2O 100ml,워터_밀크|클랜징,10000,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000002844&dispCatNo=100000100100005&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%9B%8C%ED%84%B0/%EB%B0%80%ED%81%AC_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=55,15,oliveyoung_data/클랜징/워터_밀크_result.csv
