성분명,고시기능성,고시함량
나이아신아마이드,미백,2~5%
알부틴,미백,2~5%
에칠아스코빌에텔,미백,1~2%
아스코빌글루코사이드,미백,2%
마그네슘아스코빌포스페이트,미백,3%
아스코빌테트라아이소팔미테이트,미백,2%
알파-비사보롤,미백,0.5%
유용성감초추출물,미백,0.05%
닥나무추출물,미백,2%
레티놀,주름개선,2500 IU/g
레티닐팔미테이트,주름개선,10000 IU/g
아데노신,주름개선,0.04%
폴리에톡실레이티드레틴아마이드,주름개선,0.05%
살리실릭애씨드,여드름,0.5%
징크피리치온,탈모,-
덱스판테놀,탈모,-
비오틴,탈모,-
엘-멘톨,탈모,-
타이타늄디옥사이드,자외선차단,25%
징크옥사이드,자외선차단,25%
에틸헥실메톡시신나메이트,자외선차단,7.5%
에틸헥실살리실레이트,자외선차단,5%
호모살레이트,자외선차단,10%
옥토크릴렌,자외선차단,10%
부틸메톡시다이벤조일메탄,자외선차단,5%
비스-에틸헥실옥시페놀메톡시페닐트라이아진,자외선차단,10%
다이에틸아미노하이드록시벤조일헥실벤조에이트,자외선차단,10%
에틸헥실트라이아존,자외선차단,5%
드로메트리졸트라이실록세인,자외선차단,15%
테레프탈릴리덴다이캠퍼설포닉애씨드,자외선차단,10%
메틸렌비스-벤조트리아졸릴테트라메틸부틸페놀,자외선차단,10%
다이소듐페닐다이벤즈이미다졸테트라설포네이트,자외선차단,10%
페닐벤즈이미다졸설포닉애씨드,자외선차단,4%
아이소아밀p-메톡시신나메이트,자외선차단,10%
폴리실리콘-15,자외선차단,10%
4-메틸벤질리덴캠퍼,자외선차단,4%
에틸헥실다이메틸파바,자외선차단,8%
