성분코드,성분명,영문명,CAS,구명칭,배합목적
24901,트라이(에스에이치-폴리펩타이드-165),Tri (sh-Polypeptide-165),,,피부컨디셔닝제(기타)
24898,아로마덴드린,Aromadendrin,480-20-6,,피부컨디셔닝제(기타);산화방지제
24897,양파수,,,,피부컨디셔닝제(기타)
24896,쑥부쟁이잎/줄기수,,,,피부컨디셔닝제(기타)
24895,소듐하이알루로닐살리실레이트,Sodium Hyaluronyl Salicylate,3104488-95-8,,피부컨디셔닝제(기타)
24894,담팔수캘러스세포외소포,Elaeocarpus Sylvestris Callus Extracellular Vesicles,,,피부컨디셔닝제(기타);피부컨디셔닝제(보습제);피부보호제;보습제;산화방지제;헤어컨디셔닝제
24893,가시여지캘러스세포외소포,Annona Muricata Callus Extracellular Vesicles,,,피부컨디셔닝제(기타);피부컨디셔닝제(보습제);피부보호제;보습제;산화방지제;헤어컨디셔닝제
24892,바쿠치일니코티네이트,Bakuchiyl Nicotinate,,,피부컨디셔닝제(기타)
24891,포도주초,,,,피부컨디셔닝제(기타)
24890,에스-트라이페닐메틸에프엠오씨-시스테인,S-Triphenylmethyl FMOC-Cysteine,,,피부컨디셔닝제(기타);헤어컨디셔닝제
24889,펜타메틸다이하이드로벤조퓨란설포닐에프엠오씨-알지닌,Pentamethyldihydrobenzofuransulfonyl FMOC-Arginine,,,피부컨디셔닝제(기타);헤어컨디셔닝제
24888,익모초수,,,,피부컨디셔닝제(기타)
24886,락토바실러스/블루베리열매즙발효여과물,Lactobacillus/Blueberry Fruit Juice Ferment Filtrate,,,피부컨디셔닝제(기타);산화방지제
24885,슈단즈,Pseudanes,,,피부컨디셔닝제(기타)
24883,기계충버섯균사체발효여과물,Irpex Lacteus Mycelium Ferment Filtrate,,,피부컨디셔닝제(기타)
24881,5-클로로-2-제라닐레조시놀,,,,피부컨디셔닝제(기타)
24880,쑥국화꽃/잎/줄기추출물,Tanacetum Vulgare Flower/Leaf/Stem Extract,,,피부컨디셔닝제(기타);피부보호제;산화방지제
24879,락토바실러스/쌀배아발효추출물,,,,피부컨디셔닝제(기타)
24878,트라이파로테닐카프릴레이트,Trifarotenyl Caprylate,,,피부컨디셔닝제(기타)
24877,흑미소포,,,,피부컨디셔닝제(기타)
24876,쌀소포,,,,피부컨디셔닝제(기타)
24875,람노오스아세타마이드,Rhamnose Acetamide,,,피부컨디셔닝제(기타)
24874,카복시메틸람노사이드,Carboxymethyl Rhamnoside,,,피부컨디셔닝제(기타)
24873,도라지싹추출물,,,,피부컨디셔닝제(기타)
24872,락토바실러스/클로렐라 불가리스가루발효추출여과물,Lactobacillus/Chlorella Vulgaris Powder Ferment Extract Filtrate,,,피부컨디셔닝제(기타);피부컨디셔닝제(보습제);피부보호제;보습제;헤어컨디셔닝제
24870,비스-(우르소디옥시콜릴)아스코빌옥시에틸트라이아졸릴메틸스퍼미딘하이드로클로라이드,,,,피부컨디셔닝제(기타)
24869,비스-(디옥시콜라미도프로필)아미노메틸트라이아졸릴에틸트라넥사메이트하이드로클로라이드,,,,피부컨디셔닝제(기타)
24868,락토-N-네오테트라오스,Lacto-N-neotetraose,13007-32-4,,피부컨디셔닝제(기타)
24866,철갑상어정소추출물,,,,피부컨디셔닝제(기타)
24865,올리고펩타이드-133트라이펩타이드-44펜타펩타이드-68,Oligopeptide-133 Tripeptide-44 Pentapeptide-68,,,피부컨디셔닝제(기타)
24864,다이펩타이드다이아미노부티로일벤질아마이드다이아세테이트올리고펩타이드-133,Dipeptide Diaminobutyroyl Benzylamide Diacetate Oligopeptide-133,,,피부컨디셔닝제(기타)
24863,칼슘/마그네슘/징크하이드록시아파타이트,Calcium/Magnesium/Zinc Hydroxyapatite,,,피부컨디셔닝제(기타)
24860,담즙산,Bile Acids,,,피부컨디셔닝제(기타);피부보호제;계면활성제(유화제)
24859,자이언트켈프수,Macrocystis Pyrifera (Kelp) Water,,,피부컨디셔닝제(기타);용제
24858,노니열매수,Morinda Citrifolia Fruit Water,,,피부컨디셔닝제(기타);피부컨디셔닝제(보습제);보습제
24854,신선초캘러스세포외소포,Angelica Keiskei Callus Extracellular Vesicles,,,피부컨디셔닝제(기타);피부컨디셔닝제(보습제);피부보호제;보습제;산화방지제;헤어컨디셔닝제
24853,양까막까치밥나무캘러스세포외소포,Ribes Nigrum (Black Currant) Callus Extracellular Vesicles,,,피부컨디셔닝제(기타);피부컨디셔닝제(보습제);피부보호제;보습제;산화방지제;헤어컨디셔닝제
24852,페닐락틱애씨드,Phenyllactic Acid,,,피부컨디셔닝제(기타);보존제
24851,화살나무잎/줄기수,,,,피부컨디셔닝제(기타)
24849,스타르메렐라 봄비콜라/로즈힙씨오일발효오일,Starmerella Bombicola/Rosa Canina Seed Oil Ferment Oil,,,피부컨디셔닝제(기타)
24848,데이노코쿠스발효용해여과물,Deinococcus Ferment Lysate Filtrate,,,피부컨디셔닝제(기타);산화방지제
24847,헥사펩타이드-139,Hexapeptide-139,,,피부컨디셔닝제(기타)
24846,헥사펩타이드-138,Hexapeptide-138,,,피부컨디셔닝제(기타)
24845,헥사펩타이드-137,Hexapeptide-137,,,피부컨디셔닝제(기타)
24844,헥사펩타이드-136,Hexapeptide-136,,,피부컨디셔닝제(기타)
24843,아랄리아다이올,Araliadiol,3096071-48-3,,피부컨디셔닝제(기타);산화방지제;헤어컨디셔닝제
24842,아세틸테트라(트라이펩타이드-29)다이펩타이드-73하이드록시프롤린트라이펩타이드-122테트라(트라이펩타이드-29),Acetyl Tetra (Tripeptide-29) Dipeptide-73 Hydroxyproline Tripeptide-122 Tetra (Tripeptide-29),,,피부컨디셔닝제(기타)
24841,황금흰목이자실체추출물,,,,피부컨디셔닝제(기타)
24839,에스에이치-폴리펩타이드-174,sh-Polypeptide-174,,,피부컨디셔닝제(기타)
24837,아세틸다이펩타이드-84에스-거미올리고펩타이드-2아마이드,Acetyl Dipeptide-84 s-Spider Oligopeptide-2 Amide,,,피부컨디셔닝제(기타)
24836,클로렐라 불가리스세포외소포,Chlorella Vulgaris Extracellular Vesicles,,,피부컨디셔닝제(기타)
24834,연꽃캘러스소포,Nelumbo Nucifera Callus Vesicles,,,피부컨디셔닝제(기타)
24833,당유자껍질오일,Citrus Maxima Peel Oil,,,피부컨디셔닝제(기타);피부컨디셔닝제(보습제);피부보호제;보습제
24832,리모늄 플렉수오숨소포,Limonium Flexuosum Vesicles,,,피부컨디셔닝제(기타)
24830,드럼스틱캘러스세포외소포,Moringa Oleifera Callus Extracellular Vesicles,,,피부컨디셔닝제(기타);피부컨디셔닝제(보습제);피부보호제;보습제;산화방지제;헤어컨디셔닝제
24829,매실나무열매박추출물,Prunus Mume Pomace Extract,,,피부컨디셔닝제(기타)
24828,서양배박추출물,Pyrus Communis (Pear) Pomace Extract,,,피부컨디셔닝제(기타)
24827,돌기해삼몸체세포외소포,,,,피부컨디셔닝제(기타)
24826,바실러스/락토바실러스/모나스커스병풀발효추출여과물,,,,피부컨디셔닝제(기타)
24825,밀리타리스동충하초발효여과물,Cordyceps Militaris Ferment Filtrate,,,피부컨디셔닝제(기타)
24822,붉가시나무열매수,,,,피부컨디셔닝제(기타)
24821,비누풀캘러스추출물,Saponaria Officinalis Callus Extract,84775-97-3,,피부컨디셔닝제(기타)
24820,아욱열매추출물,Malva Verticillata Fruit Extract,2771399-55-2,,피부컨디셔닝제(기타)
24819,라우릴/아이소옥틸/옥틸도데실/다이프로필렌글라이콜시트레이트코폴리머,Lauryl/Isooctyl/Octyldodecyl/Dipropylene Glycol Citrate Copolymer,,,피부컨디셔닝제(기타);피부컨디셔닝제(수분차단제);피막형성제;미끄럼조정제/활택제
24818,스타퓔로코쿠스 에피데르미디스,Staphylococcus Epidermidis,,,피부컨디셔닝제(기타)
24813,꽃범의꼬리잎/줄기추출물,Physostegia Virginiana Leaf/Stem Extract,,,피부컨디셔닝제(기타);계면활성제(세정제)
24812,쿠르쿠마 카이시아뿌리추출물,Curcuma Caesia Root Extract,,,피부컨디셔닝제(기타);피부컨디셔닝제(유연제);피부보호제;헤어컨디셔닝제
24811,니코티아나 벤타미아나알-(다이펩타이드-98에스-스트렙토코쿠스속폴리펩타이드-1에스에이치-폴리펩타이드-96올리고펩타이드-313에스에이치올리고펩타이드-4테트라펩타이드-120),Nicotiana Benthamiana r-(Dipeptide-98 s-Streptococcus sp. Polypeptide-1 sh-Polypeptide-96 Oligopeptide-313 sh-Oligopeptide-4 Tetrapeptide-120),,,피부컨디셔닝제(기타);피부컨디셔닝제(보습제);피부보호제;보습제;헤어컨디셔닝제
