goods_no,리뷰수,평점,복합성에 좋아요,건성에 좋아요,지성에 좋아요,보통이에요,아주 만족해요,다소 아쉬워요,자극없이 순해요,자극이 느껴져요,진정에 좋아요,보습에 좋아요,주름/미백에 좋아요,예상보다 길어요,예상보다 짧아요,아주 촉촉해요,매트해요,지속이 오래돼요,아주 개운해요,보습이 뛰어나요,보습이 약해요
A000000000463,3351,4.6,56,33,11,30,47,4,63,7,,,,,,,,,,,
A000000002652,83138,4.9,60,28,12,26,66,1,72,1,,,,,,,,,,,
A000000002838,356,4.5,50,36,14,21,46,7,77,2,,,,,,,,,,,
A000000002839,3076,4.8,61,27,13,21,,,79,1,64,35,0,,,,,,,,
A000000002844,308,4.8,56,14,30,33,66,1,65,2,,,,,,,,,,,
A000000002848,3196,4.7,38,8,53,31,,,67,1,52,25,23,,,,,,,,
A000000004434,12614,4.8,51,39,10,22,,,77,1,30,69,1,,,,,,,,
A000000006014,24,4.6,65,19,15,50,,,50,0,50,46,4,,,,,,,,
A000000006564,3498,4.9,58,20,21,36,,,62,1,37,61,2,,,,,,,,
A000000006565,5989,4.9,59,35,6,36,,,63,1,30,69,1,,,,,,,,
A000000007088,671,4.6,53,30,17,27,,,71,1,23,75,1,,,,,,,,
A000000010471,705,4.7,33,9,58,32,,,60,8,63,35,3,,,,,,,,
A000000011084,196,4.7,61,26,13,48,,,50,2,65,34,0,,,,,,,,
A000000011085,169,4.8,41,17,42,35,,,64,1,49,47,4,,,,,,,,
A000000011086,544,4.7,68,22,10,38,,,61,1,33,46,21,,,,,,,,
A000000011088,148,4.7,41,21,38,40,,,60,0,43,52,5,,,,,,,,
A000000013189,3358,4.7,58,36,7,36,56,4,59,5,,,,,,,,,,,
A000000013194,37921,4.9,63,24,13,21,72,1,78,1,,,,,,,,,,,
A000000014359,2085,4.6,53,39,9,23,48,8,72,5,,,,,,,,,,,
A000000014360,534,4.7,56,34,10,23,60,1,76,0,,,,,,,,,,,
A000000015026,2781,4.8,58,29,13,23,65,1,76,1,,,,,,,,,,,
