goods_no,카테고리,brand,name,주요사양,sale_price,구성품수,성분수,커버리지%,효능태그,고시기능성성분,표기함량,향료,알레르기유발착향,공인근거비율%,보습,유연,밀폐보습,장벽강화,진정,항산화,미백,주름개선,피지조절,피지흡착,여드름,각질제거,자외선차단,재생,탄력,코메도점수,코메도성분,에센셜오일,무향판정
A000000222834,로션,에스트라,에스트라 아토베리어365 로션 150ml 기획 (하이드로에센스 25ml+세라-히알 앰플 7ml),모든 피부용,23900,1,38,100,보습|장벽강화|밀폐보습|유연|미백|항산화|피지흡착,미백:나이아신아마이드,,N,0,95,10,8,13,9,0,1,1,0,0,1,0,0,0,0,0,1,올레익애씨드,0,Y
A000000228228,로션,아이디얼포맨,[7년 연속 1위] 아이디얼포맨 퍼펙트 올인원 150ml 단품/기획,모든 피부 타입,16800,1,42,100,보습|장벽강화|유연|미백|피지조절|진정|항산화|주름개선|밀폐보습,"미백:나이아신아마이드, 주름개선:레티놀, 주름개선:아데노신",,Y,0,90,15,8,2,3,2,3,2,2,2,0,0,0,0,0,0,0,,0,N
A000000161508,로션,라운드랩,[대용량] 라운드랩 1025 독도 로션 400ml,모든 피부용,25600,1,27,100,보습|장벽강화|밀폐보습|진정|항산화|각질제거|유연,,,N,0,96,12,5,5,3,2,3,0,0,0,0,0,3,0,0,0,0,,0,Y
A000000117541,로션,우르오스,[베스트 올인원]우르오스 올인원 200ml 2종 택 1,■ 중건성 피부를 위한 밀크타입 스킨케어 [ 2 in 1 ],23200,1,51,96,보습|장벽강화|피지조절|유연|각질제거|진정|항산화,,,N,2,86,11,8,0,4,1,1,0,0,4,0,0,1,0,0,0,0,,6,N
A000000243499,로션,온그리디언츠,[1등 속광로션/단독기획] 온그리디언츠 스킨 베리어 카밍 로션 이엑스 220ml 기획 (+80ml),모든 피부용,39900,1,59,98,보습|장벽강화|밀폐보습|유연|항산화|진정|주름개선|탄력|재생,,,N,0,81,19,5,7,10,8,11,0,8,0,0,0,0,0,8,8,0,,0,Y
A000000251468,로션,피지오겔,피지오겔 DMT 페이셜 로션 200ml 기획 (+토너 50ml),모든피부용,20900,2,37,100,밀폐보습|보습|장벽강화|유연|피지조절|진정,,,N,0,92,9,4,18,7,1,0,0,0,1,0,0,0,0,0,0,5,코코넛야자오일;시어버터,0,Y
A000000006565,로션,우르오스,우르오스 올인원 스킨밀크 200ml,■ 중건성 피부를 위한 밀크타입 스킨케어 [ 2 in 1 ],23200,1,27,96,보습|장벽강화|피지조절|유연|각질제거|진정|항산화,,,N,2,89,5,6,0,3,1,1,0,0,3,0,0,1,0,0,0,0,,3,N
A000000230522,로션,토리든,[단독기획] 토리든 다이브인 포맨 저분자 히알루론산 올인원 200g 더블 기획,모든피부 타입,29900,1,34,97,보습|장벽강화|밀폐보습|주름개선|유연|탄력|재생,주름개선:아데노신,,N,0,88,22,1,3,4,0,0,0,3,0,0,0,0,0,1,1,0,,0,Y
A000000248426,로션,아누아,[NEW/리뉴얼] 아누아 어성초 77 히알루론산 수분 진정 로션 200ml,모든 피부용,21900,1,41,98,항산화|보습|장벽강화|유연|진정|미백|밀폐보습,,약모밀꽃/잎/줄기수 77%,N,0,90,17,8,1,3,5,10,1,0,0,0,0,0,0,0,0,0,,0,Y
A000000250632,로션,제로이드,제로이드 인텐시브 로션 160ml 기획 (+크림 토너 25ml),모든 피부용,28800,1,55,100,보습|장벽강화|밀폐보습|유연|진정|항산화|미백,,,N,0,82,11,10,12,10,3,2,1,0,0,0,0,0,0,0,0,1,시어버터,0,Y
A000000258468,로션,온그리디언츠,[NEW] 온그리디언츠 바쿠글로우 캡슐 로션 150ml,모든 피부,28000,1,47,98,보습|장벽강화|밀폐보습|미백|주름개선|유연|항산화|진정|탄력|재생,"미백:나이아신아마이드, 주름개선:아데노신",,N,0,85,16,2,3,5,3,4,2,9,0,0,0,0,0,8,8,0,,0,Y
A000000223781,로션,닥터지,[트러블/면도후] 닥터지 레드 블레미쉬 포 맨 진정 올인원 150ml 2종 (단품/증정 기획),모든 피부용,24000,1,52,98,미백|밀폐보습|보습|장벽강화|유연|주름개선|진정|항산화|피지조절|피지흡착,"미백:나이아신아마이드, 주름개선:아데노신",,N,0,88,8,5,7,6,4,15,3,1,2,1,0,0,0,0,0,0,,2,N
A000000198321,로션,에스트라,에스트라 아토베리어365 로션 150ml,모든 피부용,23900,1,38,100,보습|장벽강화|밀폐보습|유연|미백|항산화|피지흡착,미백:나이아신아마이드,,N,0,95,10,8,13,9,0,1,1,0,0,1,0,0,0,0,0,1,올레익애씨드,0,Y
A000000250298,로션,아이디얼포맨,아이디얼포맨 프레시 올인원 150ml 단품/1+1 기획,모든 피부타입,14800,1,45,100,보습|미백|유연|장벽강화|밀폐보습|진정|항산화|피지조절|주름개선,"미백:나이아신아마이드, 주름개선:아데노신",,Y,0,89,14,6,3,4,11,15,2,1,1,0,0,0,0,0,0,0,,0,N
A000000163494,로션,라운드랩,[수분진정] 라운드랩 포 맨 자작나무 수분 로션 200ml,모든 피부용,17100,1,38,97,보습|장벽강화|유연|진정|항산화|밀폐보습|미백|피지조절|피지흡착,,자작나무수액 1.0967%,N,0,87,12,6,4,6,11,14,2,0,1,1,0,0,0,0,0,0,,0,Y
A000000137488,로션,비오템,비오템옴므 아쿠아파워 올인원 50ml 트래블 기획/200ml,모든피부,21000,1,89,96,피지조절|보습|장벽강화|유연|주름개선|각질제거|여드름|진정|항산화|밀폐보습|미백|자외선차단,"미백:나이아신아마이드, 여드름:살리실릭애씨드, 자외선차단:티타늄디옥사이드, 주름개선:아데노신",,Y,12,91,19,6,4,11,4,6,1,2,3,0,2,2,1,0,0,0,,1,N
A000000198539,로션,닥터지,[속보습/수분로션] 닥터지 더모이스처 배리어 D 로션 300ml 기획 (+멀티밤 1g),모든 피부용,22020,1,106,97,유연|밀폐보습|보습|장벽강화|피지흡착|항산화|진정|피지조절,,,Y,0,77,23,23,14,7,5,8,0,0,2,2,0,0,0,0,0,2,미리스틱애씨드;미리스틱애씨드,0,N
A000000184697,로션,아이오페,[10년 연속 1위] 아이오페 맨 올데이 퍼펙트 올인원 120ml 기획 (+30ml),복합적인 남성의 피부 고민을 한번에 케어하여 생기있고 활력 넘치는 피부를 만들어주는 올인원 기획세트,28500,1,34,100,보습|장벽강화|피지조절|유연|미백|피지흡착|밀폐보습|항산화|주름개선|진정,"미백:나이아신아마이드, 주름개선:아데노신",,Y,0,91,8,9,1,4,2,2,2,1,3,3,0,0,0,0,0,2,미리스틱애씨드;라우릭애씨드,1,N
A000000209904,로션,제로이드,제로이드 수딩 로션 160ml,모든 피부용,30000,1,22,100,보습|장벽강화|밀폐보습|유연|진정|항산화,,,N,0,91,6,3,7,8,1,1,0,0,0,0,0,0,0,0,0,0,,0,Y
A000000006564,로션,우르오스,우르오스 올인원 스킨로션 200ml,■ 지복합성 피부를 위한 워터타입 스킨케어 [ 2 in 1 ],23200,1,25,100,피지조절|보습|장벽강화|유연,,,N,1,88,12,3,0,3,0,0,0,0,3,0,0,0,0,0,0,0,,3,N
A000000228952,로션,토리든,토리든 밸런스풀 포맨 시카 프레쉬 올인원 200g 기획(+밸런스풀 올인원 20g),모든 피부 타입,19900,1,54,96,보습|장벽강화|미백|진정|항산화|주름개선|탄력|재생|피지조절|유연|밀폐보습,"미백:나이아신아마이드, 주름개선:아데노신",판테놀 0.2%; 병풀추출물 0.0502%,N,0,81,13,3,2,9,11,16,4,2,1,0,0,0,0,1,1,0,,0,Y
A000000210719,로션,아이디얼포맨,[1+1한정기획/보습템]아이디얼포맨 퍼펙트 보습 올인원 단품/1+1기획(내용물/성분 동일),모든 피부타입,16800,1,55,100,보습|장벽강화|유연|미백|진정|항산화|피지조절|밀폐보습|주름개선,"미백:나이아신아마이드, 주름개선:아데노신",,N,0,84,14,12,4,8,8,13,2,1,1,0,0,0,0,0,0,0,,0,Y
A000000236543,로션,VT,[모공/피지케어]VT 리들샷 포맨 올인원 100 엠플러스 150ml 단품/기획,모든 피부 타입,23000,1,50,100,보습|장벽강화|유연|미백|피지흡착|항산화|주름개선|피지조절|진정|밀폐보습|탄력|재생,"미백:나이아신아마이드, 주름개선:아데노신",,N,0,86,12,5,1,6,8,14,3,8,2,2,0,0,0,7,7,0,,0,Y
