goods_no,용량_원문,용량,단위,사용방법
A000000223414,24ml X 10EA 또는 11EA,10.0,매,1. 세안 후 화장수로 피부를 정돈해 줍니다. 마스크 시트를 꺼내 얼굴 모양에 맞춰 붙여 줍니다. 2. 약 10~20분 후 시트를 떼어내고 피부에 남아있는 에센스는 가볍게 두드려 흡수시켜 줍니다.
A000000231836,피디알엔 마스크 / 어성초 진정 마스크 / 복숭아 마스크 / 카테킨 마스크 / TXA 세럼 마스크 / 비타C 마스크 / 레티놀 마스크 / 라이스 마스크 / 각 6매,6.0,매,1. 세안 후 토너로 피부결을 정돈합니다. 2. 얼굴에 알맞게 시트를 붙입니다. 3. 15~20분 후에 시트를 떼어내고 피부를 가볍게 두드려 남은 내용물을 흡수 시켜 줍니다.
A000000217620,24ml,24.0,ml,1. 세안 후 화장수로 피부를 정돈해 줍니다. 마스크 시트를 꺼내 얼굴 모양에 맞춰 붙여 줍니다. 2. 약 10~20분 후 시트를 떼어내고 피부에 남아있는 에센스는 가볍게 두드려 흡수시켜 줍니다.
A000000239102,35g X 9EA,9.0,매,"1. 세안 후 화장수로 피부를 정돈한 뒤, 상·하로 분리된 마스크 시트의 필름을 떼어 줍니다. 2. 시트의 하단을 입을 중심으로 얼굴 모양에 맞춰 붙여주고, 상단은 눈을 중심으로 얼굴 모양에 맞춰 붙여 줍니다. 3. 약 30분 후, 시트를 떼어내고 피부에 남아있는 에센스를 가볍게 두드려 흡수시켜 줍니다. *마스크 시트가 투명해지는 시간은 개인차가 있을 수 있습니다."
A000000248829,20ml x 3ea,3.0,매,"""1. 파우치를 개봉하여 시트를 꺼내 한쪽에 부착된 보호 필름을 제거합니다. 2. 얼굴에 물기가 없는 상태에서 시트를 얼굴에 밀착시켜 부착 후, 나머지 보호 필름을 제거합니다. 3. 마스크가 완전히 건조될 때까지 약 50분~1시간 부착한 후 떼어냅니다. 4. 완전히 건조된 시트를 물에 적셔 흡착된 피지와 노폐물을 확인합니다."""
A000000259232,34g (1.19 oz) X 8ea,8.0,매,"사용법) 1. 세안 후 피부 결을 정돈하고, 스킨케어를 마친 뒤 마스크의 필름을 제거하고 부착합니다. 2. 팩을 부착한 후 투명해질 때까지 기다렸다 팩이 투명해지면 떼어내 줍니다. TIP : 모든 기초 스킨케어를 마친 후 수면팩으로 활용하거나 최소 3시간 이상 부착하여 더욱 특별한 효과를 경험해 보세요."
A000000240465,30g*10pcs/400 g,10.0,매,1. 세안 후 토너를 사용하여 피부결을 정돈해줍니다. 2. 파우치를 개봉하여 시트를 얼굴에 맞게 잘 밀착 시킵니다. 3. 10~20분후 시트를 떼어내고 피부에 남은 비타민 에센스를 가볍게 두드려 흡수시켜줍니다.
A000000205979,"[1번] 26ml/1매, [4번] 27g/1매",1.0,매,세안 직후 얼굴을 토너 및 화장수로 정돈해 줍니다. 마스크 시트를 꺼내 펼친 후 얼굴의 눈부분부터 맞추어 얼굴에 고르게 펴서 밀착시켜 줍니다. 10~20분 휴식 및 진정을 취한 후 마스크를 떼어냅니다. 남은 에센스는 가볍게 두드려 피부에 흡수시켜 줍니다.
A000000249535,1매 37g/ 6매 (총 222g),1.0,매,"1. 세안 후 피부 결을 정돈하고, 스킨케어를 마쳐줍니다. 2. 파우치를 개봉하여 얼굴 상, 하단 마스크의 필름 제거 후 엠보면이 피부에 닿도록 붙여줍니다. 3. 팩 부착 후 투명해질 때까지 기다렸다 컬러체인지가 되면 팩을 떼어내 줍니다. 4. 피부에 남은 앰플을 두드려 흡수시켜 줍니다. *마스크가 투명해지는 시간은 개인차가 있을 수 있습니다."
A000000259699,4+1매,1.0,매,"본 품을 피부에 붙이고 20~40분 후 제거한 다음 남은 잔여물을 골고루 펴 바른다. STEP 1. 세안 후 토너로 피부결을 정돈한 다음, 상하로 분리된 마스크팩을 꺼내 필름을 제거합니다. STEP 2. 하단을 먼저 입 중심으로 부착한 다음 상단을 눈 중심으로 얼굴에 맞춰 잘 붙여줍니다. STEP 3. 약 40분 후 마스크를 떼어낸 후, 남은 내용물은 손으로 두드려 흡수시켜줍니다."
