goods_no,카테고리,brand,name,sale_price,건성적합,지성적합,저자극,진정효과,보습효과,미백효과,리뷰수,출처
A000000222834,로션,에스트라,에스트라 아토베리어365 로션 150ml 기획 (하이드로에센스 25ml+세라-히알 앰플 7ml),23900,47.0,5.0,78.0,25.0,75.0,0.0,12464,실측
A000000228228,로션,아이디얼포맨,[7년 연속 1위] 아이디얼포맨 퍼펙트 올인원 150ml 단품/기획,16800,28.0,9.0,62.0,33.0,61.0,6.0,19521,실측
A000000161508,로션,라운드랩,[대용량] 라운드랩 1025 독도 로션 400ml,25600,31.0,11.0,75.0,33.0,66.0,1.0,16463,실측
A000000117541,로션,우르오스,[베스트 올인원]우르오스 올인원 200ml 2종 택 1,23200,21.0,10.0,62.0,32.0,67.0,1.0,7818,실측
A000000243499,로션,온그리디언츠,[1등 속광로션/단독기획] 온그리디언츠 스킨 베리어 카밍 로션 이엑스 220ml 기획 (+80ml),39900,52.0,6.0,85.0,16.0,82.0,2.0,8585,실측
A000000251468,로션,피지오겔,피지오겔 DMT 페이셜 로션 200ml 기획 (+토너 50ml),20900,45.0,5.0,78.0,24.0,75.0,1.0,6109,실측
A000000006565,로션,우르오스,우르오스 올인원 스킨밀크 200ml,23200,35.0,6.0,63.0,30.0,69.0,1.0,5989,실측
A000000230522,로션,토리든,[단독기획] 토리든 다이브인 포맨 저분자 히알루론산 올인원 200g 더블 기획,29900,33.0,13.0,72.0,33.0,66.0,1.0,3748,실측
A000000248426,로션,아누아,[NEW/리뉴얼] 아누아 어성초 77 히알루론산 수분 진정 로션 200ml,21900,20.0,13.0,73.0,57.0,42.0,1.0,333,실측
A000000250632,로션,제로이드,제로이드 인텐시브 로션 160ml 기획 (+크림 토너 25ml),28800,45.0,5.0,73.0,41.0,58.0,1.0,2417,실측
A000000258468,로션,온그리디언츠,[NEW] 온그리디언츠 바쿠글로우 캡슐 로션 150ml,28000,42.0,13.0,88.0,26.0,70.0,4.0,3069,실측
A000000223781,로션,닥터지,[트러블/면도후] 닥터지 레드 블레미쉬 포 맨 진정 올인원 150ml 2종 (단품/증정 기획),24000,26.0,15.0,70.0,56.0,43.0,1.0,4385,실측
A000000198321,로션,에스트라,에스트라 아토베리어365 로션 150ml,23900,50.0,4.0,78.0,25.0,75.0,0.0,2191,실측
A000000250298,로션,아이디얼포맨,아이디얼포맨 프레시 올인원 150ml 단품/1+1 기획,14800,25.0,25.0,62.0,46.0,51.0,2.0,2280,실측
